Travel            Shock_Compression Gradient          
0                 0.000             0.331             
5                 1.666             0.335             
10                3.354             0.340             
15                5.063             0.344             
20                6.792             0.348             
25                8.539             0.351             
30                10.304            0.355             
35                12.087            0.358             
40                13.886            0.361             
45                15.700            0.364             
50                17.530            0.367             
55                19.373            0.370             
60                21.230            0.373             
65                23.098            0.375             
70                24.979            0.377             
75                26.870            0.379             
80                28.770            0.381             
85                30.680            0.383             
90                32.598            0.384             
95                34.523            0.386             
100               36.454            0.387             
105               38.390            0.388             
110               40.330            0.388             
115               42.273            0.389             
120               44.218            0.389             
125               46.163            0.389             
130               48.108            0.389             
135               50.051            0.388             
140               51.990            0.387             
145               53.924            0.386             
150               55.851            0.385             
155               57.770            0.383             
160               59.679            0.381             
165               61.576            0.378             
170               63.458            0.375             
175               65.324            0.371             
180               67.171            0.367             
185               68.996            0.363             
190               70.798            0.358             
195               72.573            0.352             
200               74.319            0.346             
