Travel            Shock_Compression Gradient          
0                 0.000             0.362             
5                 1.808             0.361             
10                3.615             0.362             
15                5.424             0.362             
20                7.237             0.363             
25                9.056             0.364             
30                10.882            0.366             
35                12.717            0.368             
40                14.560            0.370             
45                16.413            0.372             
50                18.277            0.374             
55                20.152            0.376             
60                22.040            0.379             
65                23.939            0.381             
70                25.852            0.384             
75                27.777            0.386             
80                29.716            0.389             
85                31.669            0.392             
90                33.636            0.395             
95                35.617            0.398             
100               37.613            0.401             
105               39.624            0.404             
110               41.650            0.407             
115               43.690            0.410             
120               45.746            0.413             
125               47.817            0.416             
130               49.904            0.419             
135               52.007            0.422             
140               54.125            0.425             
145               56.258            0.428             
150               58.408            0.431             
155               60.573            0.435             
160               62.753            0.438             
165               64.949            0.441             
