Travel            Shock_Compression Gradient          
0                 0.000             0.339             
5                 1.710             0.345             
10                3.446             0.350             
15                5.210             0.355             
20                6.999             0.361             
25                8.815             0.366             
30                10.655            0.371             
35                12.520            0.375             
40                14.410            0.380             
45                16.323            0.385             
50                18.259            0.389             
55                20.217            0.394             
60                22.197            0.398             
65                24.198            0.402             
70                26.220            0.406             
75                28.261            0.410             
80                30.321            0.414             
85                32.398            0.417             
90                34.493            0.421             
95                36.603            0.424             
100               38.728            0.426             
105               40.867            0.429             
110               43.017            0.431             
115               45.179            0.433             
120               47.349            0.435             
125               49.527            0.436             
130               51.710            0.437             
135               53.896            0.437             
140               56.083            0.437             
