Travel            Shock_Compression Gradient          
0                 0.000             0.328             
5                 1.648             0.331             
10                3.314             0.335             
15                5.001             0.339             
20                6.707             0.343             
25                8.433             0.347             
30                10.179            0.351             
35                11.946            0.355             
40                13.732            0.359             
45                15.539            0.363             
50                17.366            0.367             
55                19.214            0.372             
60                21.082            0.376             
65                22.971            0.380             
70                24.880            0.384             
75                26.810            0.388             
80                28.759            0.392             
85                30.730            0.396             
90                32.720            0.400             
95                34.730            0.404             
100               36.761            0.408             
105               38.810            0.412             
110               40.879            0.416             
115               42.967            0.419             
120               45.074            0.423             
125               47.198            0.427             
130               49.339            0.430             
135               51.498            0.433             
140               53.672            0.436             
145               55.861            0.439             
150               58.064            0.442             
155               60.280            0.444             
160               62.507            0.446             
165               64.743            0.448             
