Travel            Shock_Compression Gradient          
0                 0.000             0.321             
5                 1.617             0.326             
10                3.257             0.331             
15                4.922             0.335             
20                6.610             0.340             
25                8.322             0.345             
30                10.057            0.349             
35                11.814            0.354             
40                13.594            0.358             
45                15.395            0.362             
50                17.218            0.367             
55                19.061            0.371             
60                20.924            0.375             
65                22.807            0.378             
70                24.709            0.382             
75                26.629            0.386             
80                28.566            0.389             
85                30.520            0.393             
90                32.491            0.396             
95                34.477            0.399             
100               36.478            0.402             
105               38.492            0.404             
110               40.519            0.407             
115               42.558            0.409             
120               44.608            0.411             
125               46.668            0.413             
130               48.736            0.414             
135               50.812            0.416             
140               52.894            0.417             
145               54.981            0.418             
150               57.070            0.418             
155               59.162            0.418             
160               61.253            0.418             
165               63.341            0.417             
