Travel            Shock_Compression Gradient          
-54               0.000             0.314             
-50               1.264             0.318             
-45               2.870             0.324             
-40               4.504             0.329             
-35               6.165             0.335             
-30               7.853             0.340             
-25               9.567             0.345             
-20               11.306            0.350             
-15               13.071            0.355             
-10               14.860            0.360             
-5                16.673            0.365             
0                 18.509            0.369             
5                 20.366            0.374             
10                22.246            0.378             
15                24.146            0.382             
20                26.067            0.386             
25                28.006            0.390             
30                29.964            0.393             
35                31.939            0.397             
40                33.931            0.400             
45                35.939            0.403             
50                37.962            0.406             
55                39.998            0.409             
60                42.048            0.411             
65                44.110            0.414             
70                46.183            0.416             
75                48.267            0.418             
80                50.360            0.419             
85                52.461            0.421             
90                54.569            0.422             
95                56.684            0.424             
100               58.804            0.424             
105               60.929            0.425             
108               62.205            0.425             
