Travel            Shock_Compression Gradient          
0                 0.000             0.265             
5                 1.338             0.270             
10                2.701             0.275             
15                4.089             0.280             
20                5.503             0.285             
25                6.942             0.290             
30                8.405             0.295             
35                9.893             0.300             
40                11.406            0.305             
45                12.943            0.310             
50                14.504            0.315             
55                16.088            0.319             
60                17.696            0.324             
65                19.327            0.329             
70                20.982            0.333             
75                22.658            0.338             
80                24.357            0.342             
85                26.078            0.346             
90                27.820            0.351             
95                29.584            0.355             
100               31.368            0.359             
105               33.172            0.363             
110               34.996            0.367             
115               36.839            0.370             
120               38.700            0.374             
125               40.579            0.378             
130               42.476            0.381             
135               44.389            0.384             
140               46.318            0.387             
145               48.262            0.390             
150               50.220            0.393             
155               52.191            0.395             
160               54.175            0.398             
165               56.169            0.400             
170               58.173            0.402             
175               60.185            0.403             
180               62.205            0.404             
185               64.229            0.405             
190               66.258            0.406             
195               68.289            0.406             
200               70.320            0.406             
205               72.349            0.405             
210               74.373            0.404             
212               75.181            0.404             
