Travel            Shock_Compression Gradient          
0                 0.000             0.340             
5                 1.708             0.344             
10                3.439             0.349             
15                5.193             0.353             
20                6.968             0.357             
25                8.764             0.361             
30                10.581            0.365             
35                12.417            0.369             
40                14.273            0.373             
45                16.146            0.376             
50                18.037            0.380             
55                19.945            0.383             
60                21.868            0.386             
65                23.806            0.389             
70                25.759            0.392             
75                27.724            0.394             
80                29.701            0.397             
85                31.690            0.399             
90                33.688            0.401             
95                35.696            0.402             
100               37.711            0.404             
105               39.732            0.405             
110               41.759            0.406             
115               43.789            0.406             
120               45.823            0.407             
125               47.857            0.407             
130               49.890            0.407             
135               51.921            0.406             
140               53.949            0.405             
145               55.970            0.404             
150               57.985            0.402             
155               59.989            0.400             
160               61.982            0.397             
