Travel            Shock_Compression Gradient          
0                 0.000             0.348             
5                 1.755             0.354             
10                3.539             0.360             
15                5.352             0.365             
20                7.190             0.370             
25                9.055             0.376             
30                10.945            0.380             
35                12.859            0.385             
40                14.797            0.390             
45                16.756            0.394             
50                18.737            0.398             
55                20.737            0.402             
60                22.757            0.406             
65                24.795            0.409             
70                26.850            0.413             
75                28.920            0.416             
80                31.005            0.418             
85                33.104            0.421             
90                35.215            0.423             
95                37.337            0.425             
100               39.470            0.427             
105               41.610            0.429             
110               43.759            0.430             
115               45.913            0.431             
120               48.072            0.432             
125               50.234            0.433             
130               52.399            0.433             
135               54.564            0.433             
