Travel            Shock_Compression Gradient          
0                 0.000             0.348             
5                 1.754             0.354             
10                3.536             0.359             
15                5.345             0.364             
20                7.176             0.368             
25                9.027             0.372             
30                10.895            0.375             
35                12.779            0.378             
40                14.675            0.380             
45                16.581            0.382             
50                18.496            0.384             
55                20.418            0.385             
60                22.345            0.386             
65                24.275            0.386             
70                26.208            0.387             
75                28.143            0.387             
80                30.078            0.387             
85                32.012            0.387             
90                33.944            0.386             
95                35.875            0.386             
100               37.803            0.385             
105               39.728            0.385             
110               41.649            0.384             
115               43.567            0.383             
120               45.480            0.382             
125               47.389            0.381             
130               49.293            0.380             
135               51.192            0.379             
140               53.087            0.378             
145               54.977            0.378             
