Travel            Shock_Compression Gradient          
0                 0.000             0.320             
5                 1.615             0.326             
10                3.257             0.331             
15                4.928             0.337             
20                6.626             0.343             
25                8.353             0.348             
30                10.108            0.354             
35                11.890            0.359             
40                13.701            0.365             
45                15.541            0.371             
50                17.408            0.376             
55                19.305            0.382             
60                21.230            0.388             
65                23.184            0.394             
70                25.167            0.399             
75                27.179            0.405             
80                29.220            0.411             
85                31.290            0.417             
90                33.390            0.423             
95                35.520            0.429             
100               37.679            0.435             
105               39.868            0.441             
110               42.087            0.447             
115               44.336            0.453             
120               46.615            0.459             
125               48.924            0.465             
130               51.262            0.471             
