Travel            Shock_Compression Gradient          
0                 0.000             0.258             
5                 1.290             0.258             
10                2.583             0.259             
15                3.879             0.260             
20                5.181             0.261             
25                6.490             0.263             
30                7.808             0.265             
35                9.137             0.267             
40                10.477            0.269             
45                11.831            0.272             
50                13.201            0.276             
55                14.588            0.279             
60                15.994            0.283             
65                17.420            0.288             
70                18.869            0.292             
75                20.343            0.297             
80                21.843            0.303             
85                23.371            0.309             
90                24.930            0.315             
95                26.521            0.321             
100               28.145            0.328             
105               29.804            0.335             
110               31.499            0.342             
115               33.229            0.349             
120               34.989            0.355             
