Travel            Shock_Compression Gradient          
0                 0.000             0.340             
5                 1.705             0.342             
10                3.423             0.345             
15                5.154             0.348             
20                6.898             0.350             
25                8.656             0.353             
30                10.426            0.355             
35                12.210            0.358             
40                14.006            0.361             
45                15.816            0.363             
50                17.638            0.366             
55                19.473            0.368             
60                21.320            0.371             
65                23.180            0.373             
70                25.053            0.376             
75                26.937            0.378             
80                28.834            0.381             
85                30.743            0.383             
90                32.663            0.385             
95                34.595            0.388             
100               36.539            0.390             
105               38.493            0.392             
110               40.458            0.394             
115               42.434            0.396             
120               44.421            0.398             
125               46.417            0.400             
130               48.423            0.402             
135               50.438            0.404             
140               52.462            0.406             
145               54.495            0.407             
150               56.536            0.409             
