Travel            Shock_Compression Gradient          
0                 0.000             0.309             
5                 1.561             0.315             
10                3.150             0.321             
15                4.768             0.326             
20                6.415             0.332             
25                8.089             0.338             
30                9.790             0.343             
35                11.518            0.348             
40                13.272            0.353             
45                15.051            0.358             
50                16.855            0.363             
55                18.684            0.368             
60                20.536            0.373             
65                22.411            0.377             
70                24.308            0.382             
75                26.227            0.386             
80                28.168            0.390             
85                30.129            0.394             
90                32.110            0.398             
95                34.111            0.402             
100               36.130            0.406             
105               38.168            0.409             
110               40.225            0.413             
115               42.298            0.416             
120               44.390            0.420             
125               46.498            0.423             
130               48.623            0.427             
135               50.764            0.430             
140               52.923            0.433             
145               55.098            0.437             
150               57.292            0.440             
155               59.503            0.444             
160               61.735            0.448             
165               63.989            0.453             
