Travel            Shock_Compression Gradient          
0                 0.000             0.322             
5                 1.627             0.329             
10                3.287             0.335             
15                4.980             0.342             
20                6.706             0.348             
25                8.462             0.354             
30                10.249            0.360             
35                12.066            0.366             
40                13.910            0.372             
45                15.783            0.377             
50                17.681            0.382             
55                19.605            0.387             
60                21.553            0.392             
65                23.524            0.396             
70                25.517            0.401             
75                27.531            0.405             
80                29.565            0.409             
85                31.618            0.412             
90                33.690            0.416             
95                35.778            0.419             
100               37.883            0.423             
105               40.004            0.426             
110               42.141            0.429             
115               44.293            0.432             
120               46.460            0.435             
125               48.643            0.438             
130               50.841            0.441             
135               53.056            0.445             
140               55.289            0.448             
142               56.187            0.450             
