Travel            Shock_Compression Gradient          
0                 0.000             0.339             
5                 1.697             0.340             
10                3.397             0.341             
15                5.104             0.342             
20                6.821             0.344             
25                8.550             0.347             
30                10.292            0.350             
35                12.049            0.353             
40                13.822            0.356             
45                15.612            0.360             
50                17.420            0.363             
55                19.246            0.367             
60                21.092            0.371             
65                22.957            0.375             
70                24.843            0.379             
75                26.751            0.384             
80                28.679            0.388             
85                30.631            0.392             
90                32.604            0.397             
95                34.601            0.402             
100               36.621            0.406             
105               38.665            0.411             
110               40.734            0.416             
115               42.828            0.421             
120               44.947            0.426             
125               47.091            0.432             
130               49.262            0.437             
135               51.460            0.442             
140               53.685            0.448             
145               55.938            0.453             
150               58.218            0.459             
155               60.527            0.465             
160               62.865            0.470             
165               65.233            0.476             
