Travel            Shock_Compression Gradient          
0                 0.000             0.288             
5                 1.446             0.290             
10                2.902             0.292             
15                4.368             0.294             
20                5.846             0.297             
25                7.335             0.299             
30                8.837             0.302             
35                10.352            0.304             
40                11.880            0.307             
45                13.421            0.310             
50                14.976            0.312             
55                16.545            0.315             
60                18.129            0.318             
65                19.727            0.321             
70                21.340            0.324             
75                22.968            0.327             
80                24.612            0.330             
85                26.271            0.333             
90                27.946            0.337             
95                29.636            0.340             
100               31.343            0.343             
105               33.067            0.346             
110               34.806            0.350             
115               36.563            0.353             
120               38.336            0.356             
125               40.127            0.360             
130               41.935            0.363             
135               43.760            0.367             
140               45.603            0.370             
145               47.463            0.374             
150               49.342            0.377             
155               51.238            0.381             
160               53.153            0.385             
165               55.085            0.388             
170               57.037            0.392             
175               59.006            0.396             
178               60.197            0.398             
