Travel            Shock_Compression Gradient          
0                 0.000             0.374             
5                 1.861             0.371             
10                3.710             0.369             
15                5.549             0.367             
20                7.380             0.365             
25                9.203             0.364             
30                11.022            0.363             
35                12.838            0.363             
40                14.651            0.363             
45                16.464            0.363             
50                18.278            0.363             
55                20.094            0.364             
60                21.914            0.365             
65                23.740            0.366             
70                25.572            0.367             
75                27.413            0.369             
80                29.264            0.371             
85                31.125            0.374             
90                33.000            0.376             
95                34.890            0.379             
100               36.795            0.383             
105               38.718            0.387             
110               40.661            0.391             
115               42.626            0.395             
120               44.614            0.400             
125               46.628            0.405             
130               48.669            0.411             
135               50.741            0.418             
140               52.846            0.424             
145               54.986            0.432             
150               57.165            0.440             
