Travel            Shock_Compression Gradient          
0                 0.000             0.303             
5                 1.526             0.307             
10                3.072             0.311             
15                4.638             0.315             
20                6.224             0.319             
25                7.830             0.323             
30                9.456             0.327             
35                11.102            0.331             
40                12.768            0.335             
45                14.454            0.339             
50                16.159            0.343             
55                17.885            0.347             
60                19.631            0.351             
65                21.397            0.355             
70                23.184            0.359             
75                24.992            0.364             
80                26.820            0.368             
85                28.671            0.372             
90                30.543            0.377             
95                32.437            0.381             
100               34.354            0.386             
105               36.294            0.390             
110               38.258            0.395             
115               40.247            0.400             
120               42.261            0.405             
125               44.302            0.411             
130               46.370            0.417             
135               48.467            0.422             
140               50.596            0.429             
145               52.757            0.436             
150               54.956            0.444             
155               57.195            0.452             
157               58.104            0.456             
