Travel            Shock_Compression Gradient          
0                 0.000             0.300             
5                 1.510             0.304             
10                3.036             0.307             
15                4.579             0.310             
20                6.137             0.313             
25                7.712             0.317             
30                9.302             0.320             
35                10.909            0.323             
40                12.531            0.326             
45                14.169            0.329             
50                15.822            0.332             
55                17.492            0.335             
60                19.177            0.339             
65                20.879            0.342             
70                22.596            0.345             
75                24.329            0.348             
80                26.079            0.351             
85                27.844            0.355             
90                29.625            0.358             
95                31.423            0.361             
100               33.236            0.364             
105               35.066            0.368             
110               36.912            0.371             
115               38.774            0.374             
120               40.653            0.377             
125               42.547            0.380             
130               44.457            0.384             
135               46.383            0.387             
140               48.325            0.390             
145               50.281            0.393             
150               52.252            0.396             
155               54.237            0.398             
160               56.235            0.401             
165               58.244            0.403             
170               60.264            0.405             
