Travel            Shock_Compression Gradient          
0                 0.000             0.337             
5                 1.687             0.337             
10                3.376             0.338             
15                5.070             0.339             
20                6.771             0.341             
25                8.480             0.343             
30                10.199            0.345             
35                11.928            0.347             
40                13.668            0.349             
45                15.421            0.352             
50                17.186            0.354             
55                18.964            0.357             
60                20.755            0.360             
65                22.560            0.362             
70                24.379            0.365             
75                26.213            0.368             
80                28.061            0.371             
85                29.924            0.374             
90                31.802            0.377             
95                33.695            0.380             
100               35.603            0.383             
105               37.525            0.386             
110               39.463            0.389             
115               41.416            0.392             
120               43.384            0.395             
125               45.366            0.398             
130               47.363            0.401             
135               49.375            0.404             
140               51.400            0.407             
145               53.440            0.409             
150               55.493            0.412             
155               57.559            0.414             
160               59.638            0.417             
165               61.728            0.419             
170               63.830            0.422             
