Travel            Shock_Compression Gradient          
0                 0.000             0.300             
5                 1.507             0.303             
10                3.026             0.305             
15                4.557             0.307             
20                6.100             0.310             
25                7.658             0.313             
30                9.229             0.316             
35                10.814            0.318             
40                12.413            0.321             
45                14.027            0.324             
50                15.655            0.327             
55                17.297            0.330             
60                18.954            0.333             
65                20.625            0.336             
70                22.310            0.338             
75                24.009            0.341             
80                25.721            0.344             
85                27.447            0.347             
90                29.187            0.349             
95                30.939            0.352             
100               32.704            0.354             
105               34.481            0.357             
110               36.271            0.359             
115               38.072            0.361             
120               39.884            0.364             
125               41.707            0.366             
130               43.540            0.368             
135               45.383            0.370             
140               47.234            0.371             
145               49.095            0.373             
150               50.963            0.374             
155               52.838            0.376             
160               54.720            0.377             
165               56.607            0.378             
170               58.498            0.379             
175               60.393            0.379             
180               62.290            0.380             
