Travel            Shock_Compression Gradient          
0                 0.000             0.326             
5                 1.636             0.329             
10                3.288             0.332             
15                4.957             0.335             
20                6.641             0.338             
25                8.341             0.342             
30                10.057            0.345             
35                11.787            0.347             
40                13.531            0.350             
45                15.289            0.353             
50                17.061            0.356             
55                18.844            0.358             
60                20.640            0.360             
65                22.447            0.362             
70                24.264            0.364             
75                26.091            0.366             
80                27.926            0.368             
85                29.768            0.369             
90                31.617            0.370             
95                33.470            0.371             
100               35.326            0.371             
105               37.184            0.372             
110               39.042            0.371             
115               40.898            0.371             
120               42.749            0.370             
125               44.594            0.368             
130               46.430            0.366             
135               48.253            0.363             
