Travel            Shock_Compression Gradient          
0                 0.000             0.318             
5                 1.596             0.321             
10                3.210             0.324             
15                4.840             0.328             
20                6.487             0.331             
25                8.151             0.334             
30                9.832             0.338             
35                11.529            0.341             
40                13.243            0.344             
45                14.973            0.348             
50                16.719            0.351             
55                18.482            0.354             
60                20.261            0.357             
65                22.055            0.361             
70                23.866            0.364             
75                25.691            0.367             
80                27.532            0.370             
85                29.388            0.373             
90                31.259            0.376             
95                33.145            0.379             
100               35.045            0.381             
105               36.959            0.384             
110               38.886            0.387             
115               40.827            0.389             
120               42.780            0.392             
125               44.746            0.394             
130               46.724            0.397             
135               48.714            0.399             
140               50.714            0.401             
145               52.724            0.403             
150               54.744            0.405             
155               56.773            0.407             
160               58.809            0.408             
