Travel            Shock_Compression Gradient          
0                 0.000             0.299             
5                 1.499             0.301             
10                3.014             0.305             
15                4.546             0.308             
20                6.093             0.311             
25                7.657             0.314             
30                9.237             0.318             
35                10.833            0.321             
40                12.444            0.324             
45                14.071            0.327             
50                15.713            0.330             
55                17.371            0.333             
60                19.043            0.336             
65                20.730            0.339             
70                22.432            0.342             
75                24.148            0.345             
80                25.878            0.347             
85                27.622            0.350             
90                29.379            0.353             
95                31.149            0.355             
100               32.932            0.358             
105               34.726            0.360             
110               36.533            0.362             
115               38.350            0.365             
120               40.179            0.367             
125               42.017            0.369             
130               43.866            0.371             
135               45.723            0.372             
140               47.588            0.374             
145               49.460            0.375             
150               51.340            0.376             
