Travel            Shock_Compression Gradient          
0                 0.000             0.339             
5                 1.687             0.336             
10                3.357             0.332             
15                5.013             0.330             
20                6.657             0.328             
25                8.291             0.326             
30                9.919             0.325             
35                11.542            0.324             
40                13.162            0.324             
45                14.781            0.324             
50                16.400            0.324             
55                18.023            0.325             
60                19.650            0.326             
65                21.283            0.327             
70                22.924            0.329             
75                24.574            0.331             
80                26.235            0.333             
85                27.909            0.336             
90                29.598            0.339             
95                31.302            0.343             
100               33.024            0.346             
105               34.766            0.350             
110               36.529            0.355             
115               38.316            0.360             
120               40.128            0.365             
125               41.967            0.371             
130               43.836            0.377             
135               45.738            0.384             
140               47.673            0.391             
145               49.646            0.398             
150               51.659            0.407             
155               53.714            0.416             
160               55.816            0.425             
165               57.968            0.436             
170               60.173            0.447             
175               62.436            0.459             
180               64.761            0.472             
185               67.153            0.486             
190               69.618            0.501             
195               72.162            0.517             
200               74.792            0.535             
