Travel            Shock_Compression Gradient          
0                 0.000             0.403             
10                3.997             0.397             
20                7.949             0.394             
30                11.883            0.393             
40                15.817            0.394             
50                19.761            0.395             
60                23.725            0.398             
70                27.714            0.400             
80                31.732            0.403             
90                35.782            0.407             
100               39.867            0.410             
110               43.987            0.414             
120               48.142            0.417             
130               52.332            0.421             
140               56.554            0.424             
150               60.807            0.427             
160               65.086            0.429             
