Travel            Shock_Compression Gradient          
0                 0.000             0.344             
5                 1.724             0.345             
10                3.455             0.347             
15                5.193             0.349             
20                6.941             0.351             
25                8.699             0.353             
30                10.468            0.355             
35                12.249            0.357             
40                14.042            0.360             
45                15.848            0.363             
50                17.667            0.365             
55                19.500            0.368             
60                21.346            0.371             
65                23.206            0.373             
70                25.079            0.376             
75                26.967            0.379             
80                28.868            0.382             
85                30.783            0.384             
90                32.711            0.387             
95                34.653            0.390             
100               36.608            0.392             
105               38.575            0.395             
110               40.555            0.397             
115               42.547            0.400             
120               44.550            0.402             
125               46.564            0.404             
130               48.588            0.406             
135               50.621            0.407             
140               52.663            0.409             
145               54.711            0.410             
150               56.766            0.411             
