Travel            Shock_Compression Gradient          
0                 0.000             0.342             
5                 1.713             0.344             
10                3.437             0.346             
15                5.175             0.349             
20                6.927             0.352             
25                8.695             0.355             
30                10.480            0.359             
35                12.281            0.362             
40                14.101            0.366             
45                15.938            0.369             
50                17.793            0.373             
55                19.667            0.377             
60                21.559            0.380             
65                23.469            0.384             
70                25.397            0.387             
75                27.342            0.391             
80                29.305            0.394             
85                31.285            0.398             
90                33.282            0.401             
95                35.294            0.404             
100               37.321            0.407             
105               39.362            0.410             
110               41.417            0.412             
115               43.483            0.415             
120               45.561            0.417             
125               47.648            0.418             
130               49.743            0.420             
135               51.845            0.421             
140               53.951            0.421             
145               56.059            0.422             
150               58.166            0.421             
