Travel            Shock_Compression Gradient          
0                 0.000             0.340             
5                 1.705             0.342             
10                3.420             0.344             
15                5.147             0.347             
20                6.886             0.349             
25                8.639             0.352             
30                10.407            0.355             
35                12.188            0.358             
40                13.985            0.361             
45                15.796            0.364             
50                17.623            0.367             
55                19.465            0.370             
60                21.322            0.373             
65                23.195            0.376             
70                25.083            0.379             
75                26.986            0.382             
80                28.905            0.385             
85                30.838            0.388             
90                32.786            0.391             
95                34.748            0.394             
100               36.724            0.397             
105               38.714            0.399             
110               40.716            0.402             
115               42.732            0.404             
120               44.758            0.407             
125               46.797            0.409             
130               48.845            0.411             
135               50.903            0.412             
140               52.969            0.414             
145               55.042            0.415             
150               57.122            0.416             
