Travel            Shock_Compression Gradient          
0                 0.000             0.325             
5                 1.636             0.329             
10                3.288             0.332             
15                4.958             0.336             
20                6.645             0.339             
25                8.350             0.343             
30                10.072            0.346             
35                11.811            0.350             
40                13.567            0.353             
45                15.340            0.356             
50                17.131            0.360             
55                18.939            0.363             
60                20.763            0.367             
65                22.604            0.370             
70                24.461            0.373             
75                26.335            0.376             
80                28.225            0.380             
85                30.130            0.383             
90                32.051            0.386             
95                33.986            0.389             
100               35.937            0.391             
105               37.901            0.394             
110               39.879            0.397             
115               41.870            0.400             
120               43.874            0.402             
125               45.889            0.404             
130               47.916            0.406             
135               49.952            0.408             
140               51.998            0.410             
145               54.052            0.412             
150               56.114            0.413             
