Travel            Shock_Compression Gradient          
0                 0.000             0.386             
5                 1.930             0.386             
10                3.863             0.387             
15                5.799             0.388             
20                7.739             0.388             
25                9.682             0.389             
30                11.629            0.390             
35                13.578            0.390             
40                15.531            0.391             
45                17.486            0.391             
50                19.445            0.392             
55                21.406            0.393             
60                23.370            0.393             
65                25.337            0.394             
70                27.305            0.394             
75                29.277            0.394             
80                31.250            0.395             
85                33.226            0.395             
90                35.203            0.396             
95                37.182            0.396             
100               39.162            0.396             
105               41.144            0.396             
110               43.126            0.396             
115               45.108            0.396             
120               47.090            0.396             
125               49.072            0.396             
130               51.052            0.396             
135               53.031            0.395             
140               55.007            0.395             
145               56.979            0.394             
150               58.946            0.393             
155               60.907            0.391             
160               62.860            0.390             
161               63.249            0.389             
