Travel            Shock_Compression Gradient          
0                 0.000             0.346             
5                 1.741             0.351             
10                3.509             0.356             
15                5.303             0.361             
20                7.122             0.366             
25                8.963             0.370             
30                10.826            0.375             
35                12.708            0.378             
40                14.609            0.382             
45                16.528            0.386             
50                18.464            0.389             
55                20.417            0.392             
60                22.385            0.395             
65                24.369            0.398             
70                26.369            0.401             
75                28.384            0.405             
80                30.416            0.408             
85                32.464            0.412             
90                34.531            0.415             
95                36.618            0.419             
100               38.727            0.424             
105               40.861            0.430             
110               43.024            0.436             
115               45.223            0.443             
