Travel            Shock_Compression Gradient          
0                 0.000             0.367             
5                 1.842             0.370             
10                3.697             0.372             
15                5.565             0.375             
20                7.444             0.377             
25                9.335             0.379             
30                11.237            0.381             
35                13.149            0.383             
40                15.071            0.385             
45                17.002            0.387             
50                18.944            0.389             
55                20.894            0.391             
60                22.853            0.393             
65                24.821            0.394             
70                26.797            0.396             
75                28.782            0.398             
80                30.775            0.399             
85                32.776            0.401             
90                34.784            0.402             
95                36.800            0.404             
100               38.824            0.405             
105               40.855            0.407             
110               42.894            0.408             
115               44.940            0.410             
120               46.993            0.411             
125               49.053            0.413             
130               51.120            0.414             
135               53.195            0.416             
140               55.276            0.417             
145               57.364            0.418             
150               59.460            0.420             
155               61.562            0.421             
160               63.671            0.423             
165               65.788            0.424             
170               67.911            0.425             
175               70.041            0.427             
180               72.178            0.428             
185               74.322            0.430             
190               76.473            0.431             
195               78.632            0.432             
200               80.797            0.434             
205               82.970            0.435             
210               85.150            0.437             
215               87.338            0.438             
220               89.533            0.440             
225               91.736            0.441             
230               93.947            0.443             
235               96.167            0.445             
