Travel            Shock_Compression Gradient          
0                 0.000             0.347             
5                 1.735             0.347             
10                3.469             0.347             
15                5.206             0.348             
20                6.945             0.348             
25                8.689             0.349             
30                10.438            0.351             
35                12.195            0.352             
40                13.960            0.354             
45                15.734            0.356             
50                17.520            0.358             
55                19.318            0.361             
60                21.130            0.364             
65                22.956            0.367             
70                24.799            0.370             
75                26.660            0.374             
80                28.539            0.378             
85                30.440            0.382             
90                32.362            0.387             
95                34.307            0.392             
100               36.278            0.397             
105               38.275            0.402             
110               40.300            0.408             
115               42.354            0.414             
120               44.440            0.420             
125               46.560            0.427             
130               48.714            0.434             
135               50.904            0.442             
140               53.133            0.450             
145               55.402            0.458             
150               57.712            0.466             
155               60.066            0.475             
160               62.465            0.484             
165               64.910            0.494             
166               65.405            0.495             
