Travel            Shock_Compression Gradient          
0                 0.000             0.365             
5                 1.823             0.364             
10                3.641             0.363             
15                5.455             0.362             
20                7.266             0.362             
25                9.076             0.362             
30                10.886            0.362             
35                12.699            0.363             
40                14.515            0.364             
45                16.335            0.365             
50                18.161            0.366             
55                19.994            0.367             
60                21.836            0.369             
65                23.687            0.371             
70                25.550            0.374             
75                27.424            0.376             
80                29.312            0.379             
85                31.215            0.382             
90                33.134            0.385             
95                35.070            0.389             
100               37.024            0.393             
105               38.999            0.397             
110               40.994            0.401             
115               43.011            0.406             
120               45.053            0.411             
125               47.118            0.416             
130               49.210            0.421             
135               51.329            0.427             
140               53.477            0.432             
145               55.653            0.438             
150               57.860            0.444             
155               60.097            0.451             
160               62.365            0.456             
